high_GPA,comp_GPA,math_SAT,verb_SAT,univ_GPA
3.9,3.68,690,587,3.52
3.12,3.07,582,612,2.91
2.83,2.78,609,555,2.4
2.09,3.68,554,480,3.47
3.17,3.3,612,590,3.47
3.28,3.34,628,580,2.37
3.02,3.17,567,602,2.4
3.42,3.07,619,623,2.24
3.06,3.19,691,683,3.02
2.76,2.15,564,549,3.32
3.19,3.11,650,684,
2.23,2.17,551,554,2.54
2.48,2.14,568,541,3.19
3.76,3.74,605,590,3.71
3.49,3.27,692,683,3.58
3.07,3.19,680,692,3.4
2.19,2.98,617,503,3.73
3.46,3.28,516,528,3.49
,,,,2.25
,,,,2.37
,,,,
,,,,3.19
,,,,3.28
,,,,3.37
,,,,3.61
,,,,3.81
,,,,2.4
,,,,2.21
,,,,3.58
,,,,3.51
,,,,3.62
,,,,3.6
,,,,3.65
,,,,3.76
,,,,2.27
,,,,2.35
,,,,3.17
,,,,3.47
,,,,3
,,,,2.74
,,,,3.37
,,,,3.54
,,,,3.28
,,,,3.39
,,,,3.28
,,,,3.19
,,,,2.52
,,,,3.08
,,,,3.01
,,,,3.42
,,,,3.6
,,,,2.4
,,,,2.83
,,,,2.38
,,,,3.21
,,,,2.24
,,,,3.4
,,,,3.07
,,,,3.52
,,,,3.47
,,,,3.08
,,,,3.38
,,,,3.41
,,,,3.64
,,,,3.71
,,,,3.01
,,,,3.37
,,,,2.34
,,,,3.29
,,,,3.4
,,,,3.38
,,,,3.28
,,,,3.31
,,,,3.42
,,,,3.39
,,,,3.51
,,,,3.17
,,,,
,,,,3.41
,,,,3.29
,,,,3.17
,,,,3.12
,,,,3.71
,,,,3.5
,,,,3.34
,,,,3.48
,,,,3.44
,,,,3.59
,,,,3.28
,,,,3
,,,,3.42
,,,,3.41
,,,,3.49
,,,,3.28
,,,,3.17
,,,,3.24
,,,,2.34
,,,,3.28
,,,,2.29
,,,,2.08
,,,,3.64
,,,,3.42
,,,,3.25
,,,,2.76
